Liên kết gốc,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Liên kết chuyển đổi,Lí do thất bại
https://s.shopee.vn/20m6m1lvKp,thangvd,bai1,SHPAAP0725,,,https://s.shopee.vn/W4icgkO0n,
https://s.shopee.vn/8pjqXwyPdA,thangvd,bai2,SHPAAP0725,,,https://s.shopee.vn/18S1lmI1i,
https://s.shopee.vn/8pjqXxObXg,thangvd,bai3,SHPAAP0725,,,https://s.shopee.vn/BRsE4legl,
